,Unnamed: 0,key,prefix,number,suffix,title,description,minimum credits,maximum credits,other,credit_category,text,cluster
10,10,ACCTG 312,ACCTG,312,,Accounting Technology Lab,"Hands-on course to teach accounting software, applications of spreadsheets and databases in accounting, and surveying of underlying database theory.  ACCTG 312 Accounting Technology Lab (3) This is a hands-on course to teach accounting software, applications of spreadsheets and databases in accounting, and surveying of underlying database theory .",3,3,Enforced Prerequisite at Enrollment: ACCTG 305 or ACCTG 371,Standard,"Accounting Technology Lab Hands-on course to teach accounting software, applications of spreadsheets and databases in accounting, and surveying of underlying database theory.  ACCTG 312 Accounting Technology Lab (3) This is a hands-on course to teach accounting software, applications of spreadsheets and databases in accounting, and surveying of underlying database theory .",4
11,11,ACCTG 340,ACCTG,340,,Cost Accounting,"Accounting for manufacturing concerns; actual and standard cost systems, and managerial uses of cost data.",3,3,Enforced Prerequisite at Enrollment: ACCTG 211 or ACCTG 311,Standard,"Cost Accounting Accounting for manufacturing concerns; actual and standard cost systems, and managerial uses of cost data.",4
12,12,ACCTG 371,ACCTG,371,,Intermediate Accounting I,"Financial accounting methods, theory and concepts; analysis of problems in applying concepts to financial statements and asset accounts.",4,4,Enforced Prerequisite at Enrollment: ACCTG 211,High,"Intermediate Accounting I Financial accounting methods, theory and concepts; analysis of problems in applying concepts to financial statements and asset accounts.",4
13,13,ACCTG 399,ACCTG,399,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL),Low,Foreign Studies Courses offered in foreign countries by individual or group instruction.,2
14,14,ACCTG 403,ACCTG,403,,Auditing,"Financial compliance, internal, and operational audits; standards and procedures; sampling; EDP auditing; professional issues; application of concepts through written responses.  ACCTG 403 Auditing (3)Financial statement, regulatory and contract compliance, internal and operational audits, professional standards and ethical conduct; statistical and judgmental sampling; the audit-impact of information technology; audit risk and internal control structure evaluation; application of procedures in transaction cycles; audit reporting; professional issues.",3,3,Enforced Prerequisite at Enrollment: ACCTG 371 or ACCTG 471,Standard,"Auditing Financial compliance, internal, and operational audits; standards and procedures; sampling; EDP auditing; professional issues; application of concepts through written responses.  ACCTG 403 Auditing (3)Financial statement, regulatory and contract compliance, internal and operational audits, professional standards and ethical conduct; statistical and judgmental sampling; the audit-impact of information technology; audit risk and internal control structure evaluation; application of procedures in transaction cycles; audit reporting; professional issues.",1
15,15,ACCTG 403W,ACCTG,403,W,Auditing,"Financial, compliance, internal, and operational audits; standards and procedures; sampling; EDP auditing; professional issues; application of concepts through written responses.  ACCTG 403W Auditing (3) Financial statement, regulatory and contract compliance, internal and operational audits, professional standards and ethical conduct; statistical and judgmental sampling; the audit-impact of information technology; audit risk and internal control structure evaluation; application of procedures in transaction cycles; audit reporting; professional issues.",3,3,Enforced Prerequisite at Enrollment: ACCTG 371 or ACCTG 471,Standard,"Auditing Financial, compliance, internal, and operational audits; standards and procedures; sampling; EDP auditing; professional issues; application of concepts through written responses.  ACCTG 403W Auditing (3) Financial statement, regulatory and contract compliance, internal and operational audits, professional standards and ethical conduct; statistical and judgmental sampling; the audit-impact of information technology; audit risk and internal control structure evaluation; application of procedures in transaction cycles; audit reporting; professional issues.",1
16,16,ACCTG 404,ACCTG,404,,Managerial Accounting: Economic Perspective,"Accounting techniques as planning, control, and motivating devices in business and other organizations; accounting data for decision making and performance evaluation. ACCTG 404 Managerial Accounting (3) This course emphasizes the use of accounting information for internal purposes as opposed to the external disclosure focus of the financial accounting course. The cost covers the vocabulary and mechanics of cost accounting and the design of management accounting systems for planning and controlling operations, and for motivating personnel. The course integrates accounting with ideas from data analysis, decision analysis, finance, microeconomics, and operations management. The themes stressed throughout the course will be the notion that information is costly; the circumstances that necessitate cost allocation, the idea that different costs and different allocation schemes apply for different purposes; and fundamentals of incentive and compensation plans. Among the topics covered are cost behavior, cost-volume analysis, relevant costs, and the use of cost information for decision making. The course will rely on lectures and discussion of case studies.",3,3,Enforced Prerequisite at Enrollment: ACCTG 211 and (SCM 200 or STAT 200) and ECON 102,Standard,"Managerial Accounting: Economic Perspective Accounting techniques as planning, control, and motivating devices in business and other organizations; accounting data for decision making and performance evaluation. ACCTG 404 Managerial Accounting (3) This course emphasizes the use of accounting information for internal purposes as opposed to the external disclosure focus of the financial accounting course. The cost covers the vocabulary and mechanics of cost accounting and the design of management accounting systems for planning and controlling operations, and for motivating personnel. The course integrates accounting with ideas from data analysis, decision analysis, finance, microeconomics, and operations management. The themes stressed throughout the course will be the notion that information is costly; the circumstances that necessitate cost allocation, the idea that different costs and different allocation schemes apply for different purposes; and fundamentals of incentive and compensation plans. Among the topics covered are cost behavior, cost-volume analysis, relevant costs, and the use of cost information for decision making. The course will rely on lectures and discussion of case studies.",4
17,17,ACCTG 405,ACCTG,405,,Principles of Taxation I,"Elements of tax policy and tax-planning concepts for personal and business decision making; with emphasis on taxation of individuals.  ACCTG 405 Principles of Taxation (3) Introduction to Taxation, is the first course that undergraduate accounting majors take that is devoted entirely to taxation. Although the course is intended for accounting majors, the content is relevant to finance majors seeking elective courses. The objective of the course is to provide students with a basic understanding of the concepts, terminology, and decision-making skills specific to the discipline of taxation that are germane to the professional development of those preparing for a career in accounting. Although the course surveys the many forms of taxation that are found in industrialized societies, and the comparisons thereof, the main focus is on the federal income taxation of individuals. However, coverage is provided regarding the manner in which the taxation of individuals relates to corporate and partnership entities. ACCTG 405 is related to other accounting courses through its coverage of income concepts, and micro-economic principles. The former compares differences in the measurement of financial accounting income with the manner in which income is determined according to the tax laws. The latter emphasizes business decision-making principles that are important in the managerial portion of the accounting program. The course covers topics that illustrate fundamental tax strategies and how such enable taxpayers to achieve business and personal economic objectives. The assessment process in ACCTG 405 incorporates examinations, homework assignments, and individual and group projects. The exams are combinations of objective questions and open-ended problems. Exams are often given in the evening. Course learning aids include a text book, on-line tax research services, spreadsheet software, and a packet of handouts prepared by instructors to keep the classes updated on the many changes in the tax laws that occur each year.",3,3,Enforced Prerequisite at Enrollment: ACCTG 211 and (BA 301 or FIN 301),Standard,"Principles of Taxation I Elements of tax policy and tax-planning concepts for personal and business decision making; with emphasis on taxation of individuals.  ACCTG 405 Principles of Taxation (3) Introduction to Taxation, is the first course that undergraduate accounting majors take that is devoted entirely to taxation. Although the course is intended for accounting majors, the content is relevant to finance majors seeking elective courses. The objective of the course is to provide students with a basic understanding of the concepts, terminology, and decision-making skills specific to the discipline of taxation that are germane to the professional development of those preparing for a career in accounting. Although the course surveys the many forms of taxation that are found in industrialized societies, and the comparisons thereof, the main focus is on the federal income taxation of individuals. However, coverage is provided regarding the manner in which the taxation of individuals relates to corporate and partnership entities. ACCTG 405 is related to other accounting courses through its coverage of income concepts, and micro-economic principles. The former compares differences in the measurement of financial accounting income with the manner in which income is determined according to the tax laws. The latter emphasizes business decision-making principles that are important in the managerial portion of the accounting program. The course covers topics that illustrate fundamental tax strategies and how such enable taxpayers to achieve business and personal economic objectives. The assessment process in ACCTG 405 incorporates examinations, homework assignments, and individual and group projects. The exams are combinations of objective questions and open-ended problems. Exams are often given in the evening. Course learning aids include a text book, on-line tax research services, spreadsheet software, and a packet of handouts prepared by instructors to keep the classes updated on the many changes in the tax laws that occur each year.",3
18,18,ACCTG 406,ACCTG,406,,Principles of Taxation II,"Impact of federal tax structure on business decisions, research methodology, tax planning; ethical considerations of tax practice.",3,3,Enforced Prerequisite at Enrollment: ACCTG 405,Standard,"Principles of Taxation II Impact of federal tax structure on business decisions, research methodology, tax planning; ethical considerations of tax practice.",1
19,19,ACCTG 410,ACCTG,410,,Federal Taxation II,An examination of the rules and forms used to compute the federal tax liability of corporations and partners.,3,3,Enforced Prerequisite at Enrollment: ACCTG 310,Standard,Federal Taxation II An examination of the rules and forms used to compute the federal tax liability of corporations and partners.,1
20,20,ACCTG 411,ACCTG,411,,Accounting Practicum:  VITA,Introduces students to practical aspects of tax preparation through the IRS' VITA program and completion of a tax research project.,3,3,Enforced Prerequisite at Enrollment: ACCTG 310,Standard,Accounting Practicum:  VITA Introduces students to practical aspects of tax preparation through the IRS' VITA program and completion of a tax research project.,1
21,21,ACCTG 417,ACCTG,417,,Corporate and Managerial Communication,"Developing student's expertise in interpreting and communicating accounting and financial information to business professionals.  ACCTG 417 Corporate and Managerial Communication (2-3) This course provides an opportunity for business students to develop oral, graphic, and written communication skills essential to success in a corporate environment, with emphasis on corporate accounting, finance, and/or consulting contexts. The course provides a framework for understanding the characteristics of effective business communication. It further provides guidelines for the successful development and delivery of professional messages. This course employs individual and team activities designed to strengthen skills in the development and delivery of corporate messages. Participants will gain experience analyzing and discussing financial and accounting data, evaluate and prepare professional responses to corporate problems/opportunities, and develop strategies for conversing with multiple business audiences. Specific selection of topics will evolve to reflect current issues in business, finance, and accounting.",2,3,Enforced Prerequisite at Enrollment: CAS 100 and ACCTG 211,Low,"Corporate and Managerial Communication Developing student's expertise in interpreting and communicating accounting and financial information to business professionals.  ACCTG 417 Corporate and Managerial Communication (2-3) This course provides an opportunity for business students to develop oral, graphic, and written communication skills essential to success in a corporate environment, with emphasis on corporate accounting, finance, and/or consulting contexts. The course provides a framework for understanding the characteristics of effective business communication. It further provides guidelines for the successful development and delivery of professional messages. This course employs individual and team activities designed to strengthen skills in the development and delivery of corporate messages. Participants will gain experience analyzing and discussing financial and accounting data, evaluate and prepare professional responses to corporate problems/opportunities, and develop strategies for conversing with multiple business audiences. Specific selection of topics will evolve to reflect current issues in business, finance, and accounting.",3
22,22,ACCTG 422,ACCTG,422,,Accounting Systems,"Understanding flow and documentation of accounting information and internal controls in the context of accounting cycles. ACCTG 422 Accounting Systems (3) This course primarily investigates accounting transactions cycles-processes and procedures by which an organization's financial information is recorded, processed, reported, and disposed of. The processes covered in this course range from manual to fully automated and Web-enabled systems. The documentation and analysis of the accounting cycles for the revenue, expenditure, conversion, and managerial reporting areas are explored via flowcharts and narrative descriptions. The concepts of files, transaction updates, editing, and reporting in the automated accounting systems are explored. The course also covers internal controls in the manual and automated systems. Additional topics may include fraud examination, applicable laws and regulations, and computerized auditing.",3,3,Enforced Prerequisite at Enrollment: ACCTG 312,Standard,"Accounting Systems Understanding flow and documentation of accounting information and internal controls in the context of accounting cycles. ACCTG 422 Accounting Systems (3) This course primarily investigates accounting transactions cycles-processes and procedures by which an organization's financial information is recorded, processed, reported, and disposed of. The processes covered in this course range from manual to fully automated and Web-enabled systems. The documentation and analysis of the accounting cycles for the revenue, expenditure, conversion, and managerial reporting areas are explored via flowcharts and narrative descriptions. The concepts of files, transaction updates, editing, and reporting in the automated accounting systems are explored. The course also covers internal controls in the manual and automated systems. Additional topics may include fraud examination, applicable laws and regulations, and computerized auditing.",4
23,23,ACCTG 426,ACCTG,426,,Financial Statement Analysis,"The exploration of conventional and advanced methods of analyzing financial statements, including the assessment of earnings quality. ACCTG 426 Financial Statement Analysis (3) The objective of this course is to explore conventional and advanced analytical methods of analyzing financial statements. Expanding on the material covered in the principles of accounting and principles of finance courses and using actual financial statements, students: review and apply the traditional methods for analyzing financial statements, such as ratio analysis, trend analysis, and common-size analysis, apply advanced tools for analyzing financial statements, such as financial distress prediction models and earning manipulation prediction models, and evaluate accounting policies and disclosures and their impact on the financial statements through the assessment of earnings quality.",3,3,Enforced Prerequisite at Enrollment: FIN 301,Standard,"Financial Statement Analysis The exploration of conventional and advanced methods of analyzing financial statements, including the assessment of earnings quality. ACCTG 426 Financial Statement Analysis (3) The objective of this course is to explore conventional and advanced analytical methods of analyzing financial statements. Expanding on the material covered in the principles of accounting and principles of finance courses and using actual financial statements, students: review and apply the traditional methods for analyzing financial statements, such as ratio analysis, trend analysis, and common-size analysis, apply advanced tools for analyzing financial statements, such as financial distress prediction models and earning manipulation prediction models, and evaluate accounting policies and disclosures and their impact on the financial statements through the assessment of earnings quality.",4
24,24,ACCTG 431,ACCTG,431,,Advanced Auditing,"Examination of legal liability, EDP, statistical sampling, SEC reporting, internal control, and financial reporting in specialized industries.",3,3,Enforced Prerequisite at Enrollment: ACCTG 403 or ACCTG 403W,Standard,"Advanced Auditing Examination of legal liability, EDP, statistical sampling, SEC reporting, internal control, and financial reporting in specialized industries.",1
25,25,ACCTG 432,ACCTG,432,,Accounting Information Systems,"Accounting data are utilized as information in making decisions and as a control mechanism. The focus of this course, however, will be upon the actual production of accounting data. The purpose of the course is to learn how accountants collect relevant data and transform them into reports appropriate for managers and external readers. Procedural details will focus first on the traditional accounting cycle and the journal entries for business transactions and events. Then we shall examine in detail the principle accounting cycles: sales cycle, cash receipts cycle, purchases cycle, cash disbursements cycle, payroll cycle, facilities cycle, general ledger cycle, production cycle. For each cycle, you should be able to explain the relation of the accounting process to the business enterprise, the basic journal entries, the basic internal control features, and the document flow.",3,3,Enforced Prerequisite at Enrollment: (ACCTG 371 or ACCTG 471) and (MIS 204 or MIS 250),Standard,"Accounting Information Systems Accounting data are utilized as information in making decisions and as a control mechanism. The focus of this course, however, will be upon the actual production of accounting data. The purpose of the course is to learn how accountants collect relevant data and transform them into reports appropriate for managers and external readers. Procedural details will focus first on the traditional accounting cycle and the journal entries for business transactions and events. Then we shall examine in detail the principle accounting cycles: sales cycle, cash receipts cycle, purchases cycle, cash disbursements cycle, payroll cycle, facilities cycle, general ledger cycle, production cycle. For each cycle, you should be able to explain the relation of the accounting process to the business enterprise, the basic journal entries, the basic internal control features, and the document flow.",4
